iter	Passed	Remaining
0	2	2713
1	5	2542
2	8	2872
3	11	2744
4	13	2663
5	15	2608
6	18	2570
7	21	2683
8	25	2768
9	27	2722
10	29	2685
11	32	2653
12	34	2628
13	37	2651
14	41	2718
15	43	2691
16	46	2667
17	48	2645
18	50	2625
19	53	2607
20	57	2680
21	59	2663
22	62	2674
23	65	2659
24	67	2643
25	70	2628
26	74	2667
27	76	2651
28	78	2637
29	81	2623
30	83	2610
31	85	2598
32	90	2657
33	93	2644
34	95	2631
35	97	2619
36	100	2609
37	102	2605
38	106	2634
39	109	2628
40	112	2620
41	114	2613
42	117	2606
43	120	2613
44	123	2630
45	127	2634
46	129	2627
47	132	2620
48	134	2612
49	138	2633
50	141	2626
51	143	2618
52	146	2611
53	148	2604
54	151	2598
55	155	2625
56	158	2618
57	160	2611
58	163	2604
59	165	2598
60	168	2592
61	172	2611
62	175	2608
63	178	2614
64	181	2609
65	183	2602
66	186	2603
67	189	2603
68	193	2604
69	195	2598
70	198	2591
71	200	2585
72	204	2601
73	208	2602
74	210	2596
75	213	2590
76	215	2584
77	218	2578
78	221	2582
79	224	2583
80	227	2577
81	229	2571
82	232	2566
83	235	2567
84	239	2575
85	241	2569
86	244	2563
87	246	2558
88	249	2552
89	251	2546
90	254	2546
91	258	2546
92	260	2541
93	263	2536
94	265	2530
95	269	2541
96	273	2541
97	275	2536
98	278	2530
99	280	2524
100	283	2519
101	285	2514
102	288	2514
103	291	2513
104	294	2508
105	296	2503
106	299	2498
107	304	2512
108	306	2507
109	309	2501
110	311	2496
111	314	2491
112	316	2486
113	320	2489
114	323	2487
115	325	2482
116	328	2477
117	330	2472
118	333	2467
119	338	2480
120	340	2475
121	343	2470
122	345	2464
123	348	2460
124	350	2455
125	354	2460
126	357	2455
127	359	2451
128	362	2446
129	364	2441
130	368	2442
131	372	2448
132	374	2443
133	377	2438
134	379	2434
135	382	2429
136	387	2439
137	389	2435
138	392	2430
139	394	2425
140	397	2420
141	399	2416
142	403	2419
143	406	2415
144	408	2410
145	411	2405
146	413	2401
147	417	2400
148	421	2405
149	423	2402
150	426	2399
151	429	2396
152	432	2393
153	436	2398
154	439	2393
155	441	2389
156	444	2384
157	446	2380
158	449	2376
159	453	2383
160	456	2379
161	459	2374
162	461	2370
163	464	2365
164	468	2368
165	471	2367
166	473	2363
167	476	2359
168	478	2355
169	481	2350
170	484	2349
171	487	2347
172	490	2343
173	492	2338
174	495	2334
175	497	2330
176	502	2335
177	504	2331
178	507	2327
179	509	2323
180	512	2318
181	515	2314
182	518	2316
183	521	2312
184	523	2308
185	526	2303
186	528	2299
187	531	2295
188	536	2300
189	538	2296
190	541	2292
191	543	2287
192	546	2284
193	548	2280
194	552	2281
195	555	2277
196	557	2273
197	560	2269
198	562	2265
199	567	2268
200	570	2265
201	572	2261
202	575	2258
203	578	2255
204	580	2252
205	584	2253
206	587	2249
207	589	2245
208	593	2244
209	595	2240
210	599	2240
211	602	2238
212	605	2237
213	608	2233
214	610	2229
215	613	2225
216	617	2227
217	619	2223
218	623	2222
219	625	2218
220	628	2214
221	630	2210
222	634	2209
223	636	2205
224	641	2209
225	643	2205
226	646	2201
227	651	2204
228	653	2201
229	657	2200
230	660	2198
231	663	2195
232	666	2195
233	669	2193
234	673	2191
235	675	2188
236	678	2185
237	683	2187
238	686	2186
239	689	2183
240	692	2179
241	694	2176
242	697	2173
243	701	2174
244	704	2171
245	707	2168
246	710	2165
247	713	2162
248	718	2166
249	720	2162
250	723	2159
251	726	2156
252	729	2153
253	733	2154
254	736	2150
255	738	2147
256	741	2144
257	744	2141
258	749	2143
259	752	2140
260	754	2137
261	757	2134
262	760	2131
263	763	2127
264	767	2127
265	769	2124
266	772	2121
267	775	2118
268	778	2115
269	783	2117
270	786	2114
271	788	2111
272	791	2108
273	794	2105
274	797	2101
275	801	2102
276	804	2098
277	806	2095
278	809	2092
279	812	2089
280	817	2091
281	820	2088
282	822	2085
283	825	2081
284	828	2078
285	832	2077
286	835	2074
287	837	2071
288	840	2068
289	843	2064
290	847	2064
291	850	2063
292	853	2060
293	856	2056
294	859	2053
295	862	2050
296	866	2050
297	868	2046
298	871	2043
299	874	2040
300	877	2037
301	882	2039
302	884	2035
303	887	2032
304	890	2029
305	893	2026
306	896	2022
307	900	2022
308	903	2019
309	905	2016
310	908	2012
311	911	2009
312	916	2011
313	919	2007
314	921	2004
315	924	2001
316	927	1998
317	930	1996
318	934	1994
319	937	1991
320	939	1988
321	942	1984
322	946	1984
323	950	1982
324	953	1979
325	955	1976
326	958	1973
327	961	1970
328	965	1969
329	968	1966
330	971	1962
331	974	1959
332	976	1956
333	981	1957
334	984	1953
335	987	1950
336	989	1947
337	992	1944
338	995	1940
339	999	1939
340	1002	1936
341	1004	1933
342	1007	1930
343	1010	1927
